Playlist_ID,Track_ID
1,1685
1,2173
1,407
1,1934
1,1036
1,774
1,1802
1,278
1,1197
1,1623
1,256
2,83
2,2286
2,296
2,420
2,1091
2,308
2,1749
3,139
3,525
3,46
3,526
3,378
3,1212
3,90
3,2245
4,2089
4,1222
4,48
4,1629
4,87
4,1955
4,1983
4,151
4,367
4,1626
4,650
4,912
4,309
4,1098
4,2040
4,2202
4,1028
4,938
4,2254
5,810
5,37
5,1480
5,2004
5,1550
6,671
6,1788
6,702
6,641
6,358
6,1065
6,1968
6,614
6,980
6,1722
6,453
7,812
7,1738
7,1990
7,1021
7,90
7,1272
7,1588
7,239
7,1843
7,1135
7,542
7,591
7,1912
7,1128
7,800
8,471
8,2174
8,106
8,2037
8,1398
8,1391
8,995
8,417
8,993
8,514
8,1915
8,971
8,2117
8,1687
9,766
9,1021
9,1406
9,1601
9,417
9,803
9,467
9,1185
9,1108
9,1789
9,2229
9,2147
9,1273
9,1401
9,62
9,1722
9,1085
10,47
10,1722
10,1117
10,115
10,1769
10,1208
10,1322
10,2178
10,1743
10,411
10,1445
10,199
10,301
10,1408
10,467
10,316
10,1228
10,330
10,1302
10,419
11,342
11,1671
11,923
11,1085
11,564
11,1396
11,2236
11,504
12,1449
12,2288
12,86
12,1440
12,1751
12,2069
12,693
12,1344
12,1490
12,1955
12,1482
12,1833
12,263
12,1720
12,592
12,1747
13,1902
13,282
13,129
13,192
13,1155
13,744
13,1708
13,1836
13,2110
13,1514
13,490
13,563
13,795
14,593
14,771
14,1850
14,1273
14,648
14,625
14,40
14,1061
15,779
15,1208
15,906
15,177
15,1344
16,362
16,1596
16,2072
16,246
16,2275
16,2163
16,1463
16,1140
16,791
16,1604
17,288
17,387
17,2039
17,443
17,641
17,692
17,249
17,240
17,1397
17,1304
17,2176
17,2270
17,1724
17,1938
17,516
17,704
17,1307
18,842
18,972
18,2247
18,614
18,10
18,2200
18,262
18,309
18,710
18,1786
18,112
18,1968
18,679
18,1789
18,2297
18,1796
18,1398
18,1369
18,1667
18,534
19,2268
19,1743
19,1651
19,678
19,2130
19,163
19,300
19,1221
19,2214
19,687
19,177
20,2236
20,488
20,1014
20,1744
20,1973
20,294
20,2238
20,70
20,1093
20,1609
20,193
20,1698
20,541
21,1972
21,2180
21,101
21,77
21,387
21,545
21,1778
21,186
21,196
21,1502
22,1469
22,597
22,1278
22,1708
22,1590
22,2120
22,2171
22,2211
22,2197
23,1075
23,654
23,317
23,877
23,1361
23,408
23,1121
23,521
23,2208
23,1065
23,91
23,196
23,1824
23,45
23,277
23,2227
23,543
24,782
24,417
24,732
24,1855
24,1901
24,679
24,889
24,1987
24,360
24,414
24,2207
24,288
25,33
25,1356
25,2080
25,957
25,520
25,1016
25,201
25,1985
25,668
25,298
25,894
25,994
25,1672
26,889
26,1444
26,560
26,1561
26,1082
26,1340
26,943
26,1823
27,202
27,1097
27,250
27,286
27,1278
27,1388
27,1170
27,884
27,1662
27,1961
27,1152
27,365
27,1341
27,793
27,975
27,356
28,332
28,1818
28,1299
28,631
28,356
28,83
28,946
28,1283
28,1498
29,940
29,2002
29,642
29,150
29,226
29,1517
29,526
29,235
29,1109
30,136
30,2093
30,454
30,1108
30,1442
31,883
31,928
31,1701
31,1259
31,2247
31,2160
31,1129
31,294
31,194
31,621
31,1761
31,716
31,1155
31,2042
32,420
32,793
32,2237
32,583
32,1959
32,2236
32,2164
32,1745
33,37
33,1598
33,825
33,2221
33,974
33,521
33,1183
33,1909
33,2300
33,2028
